Date,History Adj Close,Daily New Cases,Volume,ROE,ROA,PM,EPS,Adj Close
2012-03-15 00:00:00,184.320007,0,3699700,2.2689,0.6963,1.0097,0.38,184.429993
2012-03-16 00:00:00,183.389999,0,4160100,2.2689,0.6963,1.0097,0.38,185.050003
2012-03-19 00:00:00,184.589996,0,4934000,2.2689,0.6963,1.0097,0.38,185.520004
2012-03-20 00:00:00,182.259995,0,3903400,2.2689,0.6963,1.0097,0.38,192.330002
2012-03-21 00:00:00,184.429993,0,9165400,2.2689,0.6963,1.0097,0.38,191.729996
2012-03-22 00:00:00,185.050003,0,4214400,2.2689,0.6963,1.0097,0.38,192.399994
2012-03-23 00:00:00,185.520004,0,3739600,2.2689,0.6963,1.0097,0.38,195.039993
2012-03-26 00:00:00,192.330002,0,5984000,2.2689,0.6963,1.0097,0.38,202.869995
2012-03-27 00:00:00,191.729996,0,7613700,2.2689,0.6963,1.0097,0.38,205.440002
2012-03-28 00:00:00,192.399994,0,9600800,2.2689,0.6963,1.0097,0.38,201.160004
2012-03-29 00:00:00,195.039993,0,6245000,2.2689,0.6963,1.0097,0.38,204.610001
2012-03-30 00:00:00,202.869995,0,5711200,2.2689,0.6963,1.0097,0.38,202.509995
2012-04-02 00:00:00,205.440002,0,4438100,2.2689,0.6963,1.0097,0.38,198.050003
2012-04-03 00:00:00,201.160004,0,6430300,2.2689,0.6963,1.0097,0.38,199.660004
2012-04-04 00:00:00,204.610001,0,5000700,2.2689,0.6963,1.0097,0.38,193.990005
2012-04-05 00:00:00,202.509995,0,5456900,2.2689,0.6963,1.0097,0.38,194.389999
2012-04-09 00:00:00,198.050003,0,3217500,2.2689,0.6963,1.0097,0.38,191.869995
2012-04-10 00:00:00,199.660004,0,3135900,1.7879,0.6392,0.986,0.28,186.979996
2012-04-11 00:00:00,193.990005,0,4455000,1.7879,0.6392,0.986,0.28,187.970001
2012-04-12 00:00:00,194.389999,0,4337800,1.7879,0.6392,0.986,0.28,190.690002
2012-04-13 00:00:00,191.869995,0,4027900,1.7879,0.6392,0.986,0.28,188.460007
2012-04-16 00:00:00,186.979996,0,3431800,1.7879,0.6392,0.986,0.28,185.5
2012-04-17 00:00:00,187.970001,0,4044300,1.7879,0.6392,0.986,0.28,188.389999
2012-04-18 00:00:00,190.690002,0,2829200,1.7879,0.6392,0.986,0.28,191.070007
2012-04-19 00:00:00,188.460007,0,4001900,1.7879,0.6392,0.986,0.28,191.100006
2012-04-20 00:00:00,185.5,0,4002400,1.7879,0.6392,0.986,0.28,189.979996
