Date,Daily New Cases,Volume,PM,EPS,Adj Close
2013-10-09  00:00:00,0,3166200,-0.2399,-0.09,320.51001
2013-10-10  00:00:00,0,3247400,-0.2399,-0.09,314.76001
2013-10-11  00:00:00,0,2555100,-0.2399,-0.09,319.040009
2013-10-14  00:00:00,0,2163100,-0.2399,-0.09,310.029999
2013-10-15  00:00:00,0,1939100,-0.2399,-0.09,303.230011
2013-10-16  00:00:00,0,2261100,-0.2399,-0.09,298.230011
2013-10-17  00:00:00,0,2170700,-0.2399,-0.09,305.170013
2013-10-18  00:00:00,0,2648400,-0.2399,-0.09,310.890015
2013-10-21  00:00:00,0,5969800,-0.2399,-0.09,310.700012
2013-10-22  00:00:00,0,2522300,-0.2399,-0.09,306.399994
2013-10-23  00:00:00,0,3935500,-0.2399,-0.09,310.48999
2013-10-24  00:00:00,0,2818200,-0.2399,-0.09,310.769989
2013-10-25  00:00:00,0,5884700,-0.2399,-0.09,328.929993
2013-10-28  00:00:00,0,12036800,-0.2399,-0.09,326.440002
2013-10-29  00:00:00,0,3635800,-0.2399,-0.09,332.540009
2013-10-30  00:00:00,0,2185400,-0.2399,-0.09,326.76001
2013-10-31  00:00:00,0,4502200,-0.2399,-0.09,332.209991
2013-11-01  00:00:00,0,2466800,-0.2399,-0.09,363.390015
2013-11-04  00:00:00,0,3331000,-0.2399,-0.09,358.160004
2013-11-05  00:00:00,0,1938400,-0.2399,-0.09,362.700012
2013-11-06  00:00:00,0,2007100,-0.2399,-0.09,361.079987
2013-11-07  00:00:00,0,2282300,-0.2399,-0.09,364.029999
2013-11-08  00:00:00,0,4246300,-0.2399,-0.09,359
2013-11-11  00:00:00,0,2656900,-0.2399,-0.09,358.73999
2013-11-12  00:00:00,0,2261700,-0.2399,-0.09,358.890015
